tag,patterns,responses
greeting,Hi,Hello
greeting,Hey,Hi
greeting,Is anyone there?,Hi there
greeting,Hello,Hello
greeting,Hay,Hey
thanks,Thanks,Happy to help
thanks,Thankyou,Any time
thanks,That’s helpful,My pleasure
thanks,Thanks for helping,You are most welcome
good bye,Bye,See you laterBye
good bye,See you later,Have a nice day!
good bye,GoodBye,Come back again
about,Who are you,I am your Course Bot assistant
about,What are you,I am your Course Bot assistant
about,Who you are,I am your Course Bot assistant
help,Could you help me,Tell me how can I help you
help,give me a hand please,Tell me your problem to assist you
help,Can you help,Yes sure how can I help you
help,I need a help,"Sure, I am here to help you"
data science definition,What is data science,"Data science encompasses a set of principles, problem definitions, algorithms, and processes for extracting nonobvious and useful patterns from large data sets"
data science definition,Define data science,"Data science is an interdisciplinary field that uses scientific methods, processes, algorithms and systems to extract knowledge and insights from structured and unstructured data, and apply knowledge and actionable insights from data across a broad range of application domains."
data science definition,data science,"Data science is the study of data. It involves developing methods of recording, storing, and analyzing data to effectively extract useful information. The goal of data science is to gain insights and knowledge from any type of data — both structured and unstructured."
V's of big data,What are V's in Big data,"Volume, Velocity, Variety, Veracity, Value"
V's of big data,5 v’s of big data,"Volume, Velocity, Variety, Veracity, Value"
V's of big data,Big data v’s,"Volume, Velocity, Variety, Veracity, Value"
Volume in big data,Volume in big data ,"The anticipated volume of data that is processed by Big Data solutions is substantial and ever-growing. High data volumes impose distinct data storage and processing demands, as well as additional data preparation, curation and management processes"
Volume in big data,Define volume in big data,"Volume is a huge amount of data.To determine the value of data, size of data plays a very crucial role. If the volume of data is very large then it is actually considered as a ‘Big Data’. This means whether a particular data can actually be considered as a Big Data or not, is dependent upon the volume of data."
Volume in big data,Big data volume,"Volume, the first of the 5 V's of big data, refers to the amount of data that exists. Volume is like the base of big data, as it is the initial size and amount of data that is collected. If the volume of data is large enough, it can be considered big data. What is considered to be big data is relative, though, and will change depending on the available computing power that's on the market."
Volume in big data,Volume,"Volume defines the huge amount of data that is produced each day by companies, for example. The generation of data is so large and complex that it can no longer be saved or analyzed using conventional data processing methods."
Velocity in big Data,Velocity in big data,"In Big Data environments, data can arrive at fast speeds, and enormous datasets can accumulate within very short periods of time. From an enterprise’s point of view, the velocity of data translates into the amount of time it takes for the data to be processed once it enters the enterprise’s perimeter"
Velocity in big Data,Define Velocity in big data,"Velocity refers to the high speed of accumulation of data.In Big Data velocity data flows in from sources like machines, networks, social media, mobile phones etc.There is a massive and continuous flow of data. This determines the potential of data that how fast the data is generated and processed to meet the demands.Sampling data can help in dealing with the issue like ‘velocity’.
"
Velocity in big Data, Big data velocity,"Velocity refers to how quickly data is generated and how quickly that data moves. This is an important aspect for companies need that need their data to flow quickly, so it's available at the right times to make the best business decisions possible."
